Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
Paid Ad,,General UK,"FES logo
Study In The United Kingdom
- Low Initial Deposit
- MOI Acceptable 
- Dependants Allowed
- Without IELTS & PTE
- Globally Acceptable Degree 
- No Application Fee

0341-8454888
www.fespak.com
",Tayyaba,Follow country theme for this post as attached in the next box ,,Shumaila,5th April,5th April,Completed ,Approved,"Start your journey with minimal upfront cost, enjoy family-friendly options, and gain a degree that opens global doors, all through a smooth and test-free process.",Posted,,,9,University of Stirling,* Malaysia
Event Cover,"Landscape
1600x900",SEGi Malaysia,"FES & SEGi logo
Study at SEGi University, Malaysia!
Let's explore Globally recognized degrees and Industry-relevant programs with FES 

Come and join us on: 
Time: 10 am - 6 pm
Date: April 15, 2025
Location: FES Karachi Office

0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,5th April,5th April,Completed ,Approved,"Study at SEGi University, Malaysia! 🇲🇾
Are you looking for a globally recognized degree that opens doors to international opportunities? SEGi University offers industry-relevant programs, modern facilities, and a diverse student community!",Posted,,,10,Anglia Ruskin University,* UAE
Event Cover,"Landscape
1600x900",INTI Malaysia,"FES & INTI logo
Explore INTI Malaysia's Top Education!

Join us to 
-        Learn about globally recognized programs
-        Discover scholarship opportunities
-        Explore international career pathways

Date: 16th April, 2025
Time: 10 am – 6 pm
Location: FES Karachi Office
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,5th April,7th April,Completed ,Approved,"Explore Malaysia's Top Education with INTI! 🇲🇾✨

Join us at the FES Karachi Office on 16th April for an exclusive in-house session with INTI International University & Colleges—a leader in Malaysian higher education.

Register Now:
https://forms.gle/nesgfRFuBLgQgbku7

Why Attend?
✅ Learn about globally recognized programs
✅ Discover scholarship opportunities
✅ Get expert admission and visa guidance
✅ Explore international career pathways

📅 Date: 16th April
Timings: 10 AM - 6 PM
📍 Location: M-101, Mezzanine Floor, Above Faysal Bank, Off Nipa Chowrangi in FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi

Don't miss out! Secure your future with a prestigious degree from INTI Malaysia.",Posted,,,11,University of Essex,* Türkiye
Event Cover,"Landscape
1600x900",MAHSA Malaysia,"FES logo & MAHSA logo
Study Abroad with MAHSA University
Join us at FES Karachi Office to:

-        Explore top-ranked programs & scholarships up to 15%
-        Get expert guidance on admissions & visas
-        Discover global career pathways

Date: April 16th, 2025
Time: 10 am – 6 pm
Location: FES Karachi Office
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,5th April,7th April,Completed ,Approved,"Ready to Study Abroad? Start with MAHSA University! 🇲🇾🎓

Don't miss the chance to connect with MAHSA University, one of Malaysia's leading institutions, at our In-House Session at the FES Karachi Office on 16th April!

 Why Attend?
✅ Explore top-ranked programs & scholarships up to 15%
✅ Get expert guidance on admissions and visas
✅ Discover global career pathways

📅 Date: 16th April
📍 Location: FES Karachi Office
Timings: 9PM - 5PM
Secure your future—study with the best! ",Posted,,,12,"University of Northampton, UK",* Indonesia
Paid Ad,,General Germany,"FES logo
Study in Germany 
-        IELTS, PTE & Duolingo Required
-        Affordable/No Tuition Fee 
-        Post Study Work Available 
-        Gap Accepted 
-        Various Intakes Available 
-        Part Time Work Allowed
Apply Now
0341-8454888
www.fespak.com
",Tayyaba,Follow country's flag color theme like Hungary (mentioned above),,Shumaila,5th April,7th April,Completed ,Approved,"Study in Germany 🇩🇪 With low or no tuition fees, flexible intakes, part-time work options, and post-study pathways, it’s a smart move for your future. Just clear the language test and you’re good to go. Apply now!

📞 0341-8454888

We Guide You Lead
www.fespak.com

#FES #FES2025 #FESConsultants #GermanyStudyVisa #StudyInGermany #Germany #PakistaniStudents #StudyAbroad #EuropeVisa #StudyInEurope #IELTS #PTE #Duolingo #GapAccepted","Schedule 
Sat 11 AM",,,13,Nottingham Trent University,* France
Paid Ad,,General UAE,"FES logo
Study in UAE
•        Affordable Tuition Fee
•        Part Time Work Allowed 
•        Gap accepted
•        Transferable degree Aus/UK/USA for Undergraduate Students 
•        No IELTS Required
•        Multiple Intakes Available
Apply Now
0341-8454888
www.fespak.com
",Tayyaba,Follow country's flag color theme like Hungary (mentioned above),,Shumaila,5th April,7th April,Completed ,Approved,"Study in the UAE - A smart choice with budget-friendly education, career flexibility and seamless international pathways. With entry options year-round and no language tests holding you back, it’s your move. Apply now!",Posted,,,,,
Paid Ad,,General Malaysia,"FES logo
Study in Malaysia 
Apply Without IELTS
Highest Visa Ratio
Gap Accepted 
Transferable degree to Aus/UK
Affordable Tuition Fee 

0341-8454888
www.fespak.com
",Tayyaba,Follow country's flag color theme like Hungary (mentioned above),,Shumaila,5th April,7th April,Completed ,Approved,"Study in Malaysia 🇲🇾 Benefit from a high visa success rate, cost-effective tuition, and smooth transfer options to top destinations like the UK or Australia. No IELTS needed and gaps are welcome. Apply today!",Posted,,,,,
SM post,,Special Days,"FES AID logo
World Health Day
7th April
""A healthy outside starts from the inside."" – Robert Urich
www.fespak.com
",Tayyaba,Pls share it before 7th April,-,Shumaila,5th April,5th April,Completed ,Approved,"""A healthy outside starts from the inside."" - Robert Urich. Join FES AID in recognizing World Health Day on April 7th. Let's promote healthy lifestyles and ensure access to quality healthcare for all. ",Posted from FES AID,,,,,
Newsletter,,Newsletter,Newsletter March,Raheel,,-,Insia,4th April,18th April,Completed ,Approved,None,Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
Expo Logo,,Expo logo,FES Study Abroad Expo 2025,Raheel,Pls share 2-3 variations,-,Shumaila,7th April,7th April,Completed ,Tayyaba expo design approved,None,No need to post,,,,,
Reel,1080 X 1920,Text Based Reel,"Done with your intermediate exams?
Now’s the perfect time to start planning your higher studies abroad! 

Let FES guide you — choose from top study destinations
(Show flags of: UK, Australia, USA, Canada, Ireland, Germany, Netherlands, Malaysia, Turkey, UAE, Hungary, New Zealand, France)

(show videos regarding the points below per slide)
* Quick Offer Letters 
* PSW Opportunities

FES and 21 years logo on the last slide only
Apply now for the September 2025 Intake!
Contact us
0341 8454888
www.fespak.com",Sherry,,https://www.facebook.com/ahzassociates.pk/videos/1568951223767816/?rdid=OVv67NFwBmZ8cu0Z#,Insia,7th April,8th April,Completed ,Approved,"Done with intermediate? Let FES help you take the next step! Explore top countries, get quick offer letters and access PSW opportunities. Apply now for the September 2025 intake!

📞 0341-8454888

We Guide You Lead
www.fespak.com

#FES #FES2025 #FESConsultants #StudyAbroad #September2025Intake #PSW #Opportunities #Intermediate #InternationalStudents #OfferLetters #StudyInUK #StudyInAustralia #StudyInCanada #ApplyNow
","Schedule
Sat 2 PM",,,,,
Carousel,,Carousel,"fes, 21 yrs  and Budapest Metropolitan uni logo

Grid 1
Study Art at METU 

Bachelor’s Programs
* Environmental Design BA  
* Design Culture BA  
* Media Design BA  
* Photography BA  
* Visual Representation BA  

Grid 2
Master’s Programs
* Animation MA  
* Media Design MA  
* Fashion and Textile Design MA  

Grid 3
Save more money by availing the Early Bird Discount 
Available Until April 30!  

Apply For Fall 2025 Intake Now 

0341 8454555
0341 8454848
www.fespak.com",Tayyaba,Priority,,Insia,7th April,8th April,Completed ,Approved,"Explore creative bachelor's and master's programs at METU, designed for the artist in you. Apply early and save big with the Early Bird Discount, available until April 30!  ",Posted,,,,,
Branding,,Mall of Lahore,Lahore signboad,Raheel,-,-,Ahmad,7th April,7th April,Completed ,Approved,None,No need to post,,,,,
PDF,,Proposal,N/A,Raheel,-,-,Ahmad,18th March ,5 April,Completed ,Pending,None,"Hold by Sir Touqeer, waiting for david's remark",,,,,
Event Cover,"Landscape
1600x900",University of Portsmouth,"FES & UoP logo
Unlock Your Potential at the University of Portsmouth, UK
Join our In-House Session
Date: April 21, 2025
Time: 10 am – 6 pm
Location: FES Office, Karachi
Scholarships up to £3,000 (*T&C Apply)
Discover career-focused programs and research-driven environment
Join Us
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,,Not completed,,Done,Design not completed,,,,,
DP,170x170 pixels,DP,"FES UAE DP
FES Australia DP",Akbar,Urgent - plz share today 7 april,,Insia,7th April,7th April,Completed ,Approved,None,No need to post,,,,,
Event Cover,"Landscape
1600x900",ENU Session,"FES & ENU logo
Discover Edinburgh Napier University (ENU), UK
Join our In-House Session:
Date: April 21, 2025
Time: 10 am – 6 pm
Location: FES Office, Karachi
Explore Study options tailored to your career goals 
Avail Scholarships up to £2,000 (*T&C Apply)
Start your UK journey today!
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,,On Hold,-,Done,Already ENU event created for all offices on the same date,,,,,
Event Cover,"Landscape
1600x900",ARU Session,"FES & ARU logo
Unlock Your Future with Anglia Ruskin University (ARU)
Join our In-House Session:
Date: April 21, 2025
Time: 10 am – 6 pm
Location: FES Office, Karachi
Explore Global learning opportunities 
Scholarships up to £7,000 (*T&C Apply)
Take the first step towards your UK study journey!
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,,Not completed,,Done,Design not completed,,,,,
Event Cover,"Landscape
1600x900",RGU Session,"FES & RGU logo
Launch Your UK Study Journey with Robert Gordon University (RGU)
Join our In-House Session:
Date: April 22, 2025
Time: 10 am – 6 pm
Location: FES Office, Karachi
Scholarship up to £2,500 (*T&C Apply)
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,10th April,Completed ,Approved,Done,Posted,,,,,
Event Cover,"Landscape
1600x900",UEA Session,"FES & UEA logo
University of East Anglia
In-House Session
Discover Scholarships up to £4,000 (*T&C Apply)
Join us:
Date: April 22, 2025
Time: 10 am – 6 pm
Location: FES Office, Karachi
Take the next step toward your future!
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,11th April,Completed ,Approved,Done,Posted,,,,,
Event Cover,"Landscape
1600x900",Stirling Session,"FES & University of Stirling logo
University of Stirling
In-House Session
Date: April 22, 2025
Time: 10 AM - 6 PM
Location: FES Office, Karachi
Scholarship Upto £4,000 (*T&C Apply)
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,7th April,,Not completed,,Done,Design not completed,,,,,
Grid,,FES UAE Post,"Grid 1
FES

Grid 2
Countries Flags (UK, Australia, USA, Canada, Ireland, Germany, Netherlands, Malaysia, Turkey, UAE, Hungary, New Zealand, France)


Grid 3
UAE (as mentioned in the dp)",Tayyaba,-,-,Insia,7th April,7th April,Completed ,Approved,"Dreaming of studying abroad? FES, The Leading Education Consultants, is your go-to option for studying abroad. Now operational in UAE as well. Apply now!

#fesuae #fesconsultants #fes #studyabroad #topconsultant #highereducationabroad #students #studyvisa",Posted from FES UAE,,,,,
Standee,X Standee 2X5,Collaboration Standee,"LOGO of FES & University of Karachi

FES Higher Education Consultants 🤝 Students' Guidance, Counselling and Placement Bureau, University of Karachi
Inspiring The Next Generation Together
 
www.fespak.com
",Raheel,"Deadline: 09th April, 2025",KU logo shared in WhatsApp group,Shumaila,7th April,10th April,Completed ,Approved,None,Shared with Team Karachi,,,,,
Certificate,Certificate Size,Anniversary Certificate,"Urva Baloch - One Year   
 .Abu Talha - Four Years 
 .Adnan Hameed - One Year 
.Syed Sajjad Haider - One Year 
 .Muhammad Muneeb Danish - Three Years 
 .Hasan Jan - Three Years  
.Nasir Khan- One Year",Akbar,EOD,,Ahmad,7th April,7th April,Completed ,Approved,Done,Shared with HR,,,,,
Card,Any,GWS card,Get Well Soon Hashir Ahmed,Raheel,-,-,Shumaila,8th April,8th April,Completed ,Approved,Done,Shared with HR,,,,,
SM post,,Birthday post ,Ghulam fareed,Raheel,-,-,Arooba,8th April,8th April,Completed ,Approved,-,posted,,,,,
Paid Ad,,General Canada,"FES logo
Study in CANADA
•        Duolingo Accepted
•        Affordable Tuition Fees 
•        Part-Time Work Allowed
•        Gap Accepted 
•        Part-Time Work Allowed
•        Post-Study Work Permit
0341-8454888
www.fespak.com
",Tayyaba,Follow country's flag color theme like Hungary (mentioned above),,Shumaila,8th April,8th April,Completed ,Approved,"Study in Canada with Duolingo accepted, budget-friendly tuition fee and post-study work options. Gaps are welcome and part-time work keeps you going. Apply now!",Posted,,,,,
Paid Ad,,General Ireland,"FES logo
Study in IRELAND
•        Undergraduate & Postgraduate Courses
•        With IELTS, PTE & Duolingo
•        Gap accepted
•        Affordable Tuition Fee 
•        Part Time Work Allowed 
•        Post Study Work Available 
•        Highest PR Ratio
0341-8454888
www.fespak.com
",Tayyaba,Follow country's flag color theme like Hungary (mentioned above),,Shumaila,8th April,8th April,Completed ,Approved,"Are these reasons making you want to study in Ireland? Sounds pretty great, right? So, get a free consultation and apply now!",Posted,,,,,
Event Cover,,Session with international reps,"FES & Manchester Metropolitan University logo
Thinking of studying Business or Law in the UK?  
Get A Chance To Interact With 
Dr. Trevor Brown (Add pic)
Reader in Strategic Practice and Apprenticeships (Associate Professor)
Susan Kearvell (Add pic)
International Recruitment Manager
Get scholarships up to £6,000 (*T&C Apply)  

April 10, 2025  
11 AM onwards  
Location: FES Office, Karachi

Join Us
0344 8454242 | 0343 8454141
www.fespak.com
",Raheel,Urgent Task,-,Shumaila,8th April,9th April,Completed ,Approved,"Thinking of studying Business or Law in the UK? Get scholarships up to £6,000 at Manchester Metropolitan University! Interact with Dr. Trevor Brown and Susan Kearvell on April 10, 2025, 11 PM onwards at the FES Office, Karachi. Don't miss this chance!

📍 M-101, Mezzanine Floor, Above Faysal Bank, Off Nipa Chowrangi in FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.

Call/WhatsApp: 0344 8454242 | 0343 8454141

We Guide You Lead
www.fespak.com",Posted,https://drive.google.com/drive/folders/1SDeAvHb7ZDM6WpboR6R1i9N-ICsuxnUR,,,,
Reel,Reel Size,Steinbeis University Germany,Ma'am Sanila giving an Introduction of Steinbeis University,Sherry,Edit into Reel,-,Amjad,8th April ,8th April,Completed ,Approved,Done,On hold by Karachi Team,,,,,
Branding,As Required,DHA Lahore Office Branding,Office Walls and Entrance Branding,Raheel,On priority,-,Amjad,8th April,17 April,Completed ,,None,No need to post,,,,,
Event Cover,"Landscape
1600x900",ENU Event Cover 21 April,"FES, 21 yrs and ENU Logo
Application Day
featuring
ENU, Public university in Edinburgh, Scotland
Exclusive Partner of FES

Monday, 21st April, 2025
12:00 PM - 5:00 PM

Lahore Cantt
Office 5, 1st Floor, CB Plaza, Adjacent to the Mall of Lahore, Tufail Road, Lahore Cantt
+92 345 8454787

Lahore DHA 
Plaza #34, DD Commercial Area, DHA Phase 4, Lahore
+92 346 8454454

Gujranwala
Office 1-2, 1st Floor, Trust Plaza, GT Road, Gujranwala, Pakistan
+92 344 8454454

Rawalpindi📍 
Office No. 104-104A, 1st Floor, Mehfooz Shaheed Road, Kohistan Tower, Saddar Rawalpindi.
+92 345 8454708

Wah Cantt
Office 28-30, Al Kareem Arcade, Main GT Rd, opposite Kohistan Enclave, Wah Cantt, 47040
+92 345 8454773

Peshawar 
Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar
+92 346 8454522

Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt, Peshawar
+92 345 8454771

Mardan
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road, Mardan Cantt.
+92 345 8454774

Abbottabad 
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad
+92 345 8454772

Karachi
Office Address: M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.
+92 345 8454141


0341 8454888
0341 8454555 
www.fespak.com",Raheel,-,,Insia,9th April,16 April,Completed ,Approved,"Dreaming of studying in Scotland? Don’t miss this exclusive Application Day featuring Edinburgh Napier University (ENU) – a top-ranked public university located in the heart of Edinburgh and an exclusive partner of FES!

This event is going to happen in all FES Offices on Monday, 21st April 2025 from 12:00 PM – 5:00 PM. 
✅ Get on-spot application support
✅ Explore September 2025 intake options
✅ Learn about scholarships and study plans

For more details, contact us now.",Posted,,,,,
Event Cover,"Landscape
1600x900",ENU Recruitment Drive,"FES, 21 yrs and ENU Logo
ENU Recruritment Drive

10th April FES Wah Cantt
11th April FES Abbottabad 
12th April FES Rawalpindi 
14th FES Lahore DHA

www.fespak.com",Raheel,,,Insia,9th April,9th April,Completed ,Approved,"Ready to study abroad? Explore Edinburgh Napier University’s top programs and scholarship options with Mr. Imran Khan Khalil at the ENU Recruitment Drive happening across FES offices! 🇬🇧  Discover your route to the UK, including:
- With & Without IELTS Options  
- Scholarships Available  
- On-Spot Assessment  
All interested students are welcome to join us. See you! 👋",Posted,Edinburgh-Napier-University-Recruitment-Drive--Featuring.jpg,,,,
SM post,,ENU App Day Campaign,"FES Logo & ENU Logo
Reasons to Study at ENU 

#1 Modern University in Scotland (The World University Rankings 2025)
Top Scottish Modern University For Research Power and Impact
Leading University In Edinburgh For Student Satisfaction for five years
97% Graduate In Work Or Further Studies
20,000 Students From Over 145 Countries 

Join us for the Application Day at FES Offices 
21st April, 2025 (Highlight)


0341 8454555
0346 8454999
www.fespak.com",Tayyaba,Use white and red theme,https://www.facebook.com/fespak1/posts/pfbid02GeCmHF6M7sSY9n9gYypyu1sNgJYm2HiMkcrVVLstiVkVwtgBRDKgTN2FduiRQgmDl?__cft__[0]=AZWOWdueN3tzLcOxbIXHNsHMs-8MHxHeGS1er52j-Ojf9suwjDbtFHO58rYh-hPA4wIIg77Om5_nX66VoU0y9yTdFiiQ7_gwcmmnuvhtcxXuc3U4bAQsA7_ZwpmTT1oZn-rQvKGK0v8Wr6LMynRbJa1ljunD5U3xLqFxqfJjN0Vok_oWdY0kJ4ueGmq7v1EC4gM&__tn__=%2CO%2CP-R,Insia,9th April,10th April,Completed ,Approved,"Looking for solid reasons to choose Edinburgh Napier University? From being Scotland’s #1 modern university to leading in student satisfaction and graduate success, ENU stands out! Don’t miss your chance to apply on 21st April, 2025 at the FES Offices!",Posted,,,,,
Event Cover,Cover Size,NTU In-House Session,"Put the Logo of FES and NTU 

In House Session for Nottingham Trent University
                                 With 
Saad Masood, Country Advisor for NTU. 

Location: FES, Rawalpindi Office, Kohistan Tower 
Date: 10th April, 2025
Time: 12:30 pm to 2:00 pm 

0341-8454888| 0345-8454708 www.fespak.com ",Tayyaba,Urgent,-,Ahmad,9th April,9th April,Completed ,,"Join us for an exclusive session with Saad Masood, Country Advisor for NTU, and get personalized guidance on your study journey to the UK 🇬🇧. Get assistance on:

🔹 Application Support
🔹 Course & Career Guidance
🔹 Scholarship Information

📍 FES Rawalpindi Office – Kohistan Tower
📅 10th April, 2025
🕰 12:30 PM to 2:00 PM",Posted,,,,,
Event Cover,Cover Size,NTU In-House Session,"Put the Logo of FES and NTU 

In House Session for Nottingham Trent University
                                 With 
Saad Masood, Country Advisor for NTU. 

Location: FES Office, DHA, Lahore 
Date: 15th April, 2025
Time: 2:30 pm to 4:00 pm 

0345-8454769 www.fespak.com

",Tayyaba,Urgent,-,Ahmad,9th April,9th April,Completed ,,"Join us for an exclusive In-House Session for Nottingham Trent University (NTU) at the FES Office, DHA Lahore, on 15th April 2025, from 2:30 PM to 4:00 PM. Meet Saad Masood, Country Advisor for NTU and get expert guidance on course options, scholarships and application support for your journey to the UK 🇬🇧. Don’t miss this chance to connect directly with the official representative of NTU!",Posted,,,,,
Honey,Boxes,Honey Boxes,3 box's designs for Honey,Akbar,-,-,Dr. Touqeer,9th April,9th April,Completed ,-,None,No need to post,,,,,
Reel,Reel Size,Bakhtawar Promotional Video,"Video by Ms. Bakhtawar
Script Shared with Editor",Sherry,Priority,-,Ahmad,9th April,21 April,Completed ,,"Tired of scrolling and still unsure where to apply? 🎓 Studying abroad could be the plot twist your future needs. Higher salaries, better job offers, new adventures—we know it's on your mind. Let FES help you figure it all out, all hassle-free. Contact us now!",Posted,,,,,
Event Cover,"Landscape
1600x900",Southwales Event 22nd April,"FES, 21 yrs and University of South Wales Logo

University of SouthWales
Application Day

22nd April, 2025
10:00 AM - 6:00 PM

FES Head Office, Lahore 
Cantt. Branch 
Office 5, 1st Floor, CB Plaza, Adjacent to the Mall of Lahore, Tufail Road, Lahore Cantt


FES Office, DHA 
Plaza #34, DD Commercial Area, DHA Phase 4, Lahore


FES Office, Gujranwala
Office 1-2, 1st Floor, Trust Plaza, GT Road, Gujranwala, Pakistan


FES Office, Rawalpindi 
Office No. 104-104A, 1st Floor, Mehfooz Shaheed Road, Kohistan Tower, Saddar Rawalpindi.


FES Office, Wah Cantt
Office 28-30, Al Kareem Arcade, Main GT Rd, opposite Kohistan Enclave, Wah Cantt, 47040


FES Office, Peshawar 
Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar

FES Office, Peshawar Deans 
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt, Peshawar


FES Office, Mardan
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road, Mardan Cantt.


FES Office, Abbottabad 
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad


FES Office, Karachi
Office Address: M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.


0346 8454999
0341 8454555 
www.fespak.com",Raheel,-,-,Insia,9th April,16 April,Completed ,Approved,"Ready to study in the UK? Don’t miss the University of South Wales – Application Day at FES offices happening on 22nd April, 2025 from 10:00 AM – 6:00 PM.

Get on-spot application support, explore scholarship opportunities, and apply for the September 2025 intake. Whether you're planning for undergraduate or postgraduate studies, this is your chance to take the first step toward your future at one of the UK’s leading universities.",Posted,,,,,
Event Cover,"Landscape
1600x900",Portsmouth Event 23rd April,"FES, 21 yrs and University of Portsmouth Logo
Study in the UK
Application Day
September 2025 Intake Special

23rd April, 2025
10:00 AM - 6:00 PM

Lahore Cantt.
Office 5, 1st Floor, CB Plaza, Adjacent to the Mall of Lahore, Tufail Road, Lahore Cantt
+92 345 8454787

DHA Lahore
Plaza #34, DD Commercial Area, DHA Phase 4, Lahore
+92 346 8454454

Gujranwala
Office 1-2, 1st Floor, Trust Plaza, GT Road, Gujranwala, Pakistan
+92 344 8454454

Rawalpindi 
Office No. 104-104A, 1st Floor, Mehfooz Shaheed Road, Kohistan Tower, Saddar Rawalpindi.
+92 345 8454708

Wah Cantt
Office 28-30, Al Kareem Arcade, Main GT Rd, opposite Kohistan Enclave, Wah Cantt, 47040
+92 345 8454773

Peshawar 
(University Road Branch)
Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar
+92 346 8454522

Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt, Peshawar
+92 345 8454771

Mardan
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road, Mardan Cantt.
+92 345 8454774

Abbottabad 
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad
+92 345 8454772

Karachi
Office Address: M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.
+92 345 8454141

 
www.fespak.com",Tayyaba,"Urgent 
Use the image provided in the cover as well",,Insia,10th April,,Completed ,,"Planning to study in the UK? Join the University of Portsmouth – Application Day on 23rd April at all FES offices! Explore your course options, get on-spot application support and discover available scholarships for the September 2025 Intake. Don’t miss this opportunity to start your journey with a top UK university. Register Now!",Posted,,,,,
